"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.239854560E-1,-8.947802186E-1,3.240379572E0,9.129771233E0,9.728998621E0
1.259854560E-1,-9.153416157E-1,3.230726242E0,9.162245750E0,9.758185770E0
1.279854560E-1,-9.397146106E-1,3.224616289E0,9.193265915E0,9.787612168E0
1.299854560E-1,-9.767385125E-1,3.230103731E0,9.231524467E0,9.828969032E0
1.319885810E-1,-1.009893417E0,3.236462593E0,9.233880997E0,9.836622037E0
1.339854560E-1,-1.033605576E0,3.227307320E0,9.235431671E0,9.837532779E0
1.359854560E-1,-1.072315097E0,3.239450693E0,9.245372772E0,9.854989506E0
1.379854560E-1,-1.095883489E0,3.253767967E0,9.246962547E0,9.863786441E0
1.399870180E-1,-1.112528086E0,3.273352623E0,9.261365891E0,9.885618559E0
1.419854560E-1,-1.143355846E0,3.290054560E0,9.284637451E0,9.916461778E0
1.439854560E-1,-1.165899634E0,3.304094076E0,9.302258492E0,9.940240071E0
1.459854560E-1,-1.170218706E0,3.317405701E0,9.316998482E0,9.958968476E0
1.479854560E-1,-1.169778228E0,3.305789232E0,9.317534447E0,9.955554817E0
1.499854560E-1,-1.165143013E0,3.306133986E0,9.321613312E0,9.958943463E0
1.519854560E-1,-1.154733062E0,3.299267292E0,9.330472946E0,9.963749219E0
1.539854560E-1,-1.143039823E0,3.297945738E0,9.343985558E0,9.974620405E0
1.559854560E-1,-1.125993013E0,3.294622660E0,9.357000351E0,9.983779560E0
1.579901430E-1,-1.114328504E0,3.280171156E0,9.336227417E0,9.958232434E0
1.599854560E-1,-1.092684984E0,3.256191015E0,9.309996605E0,9.923345060E0
1.619854560E-1,-1.058160543E0,3.221082211E0,9.293821335E0,9.892936336E0
1.639854560E-1,-1.017755985E0,3.185456514E0,9.268338203E0,9.853174793E0
1.659870180E-1,-9.835284948E-1,3.167394876E0,9.227904320E0,9.805811376E0
1.679854560E-1,-9.655336738E-1,3.144640446E0,9.212237358E0,9.781939273E0
1.699917060E-1,-9.382110834E-1,3.115239620E0,9.200745583E0,9.759030546E0
1.719854560E-1,-9.112810493E-1,3.090483427E0,9.200246811E0,9.748131223E0
1.739932680E-1,-8.852512836E-1,3.065267801E0,9.159612656E0,9.699383513E0
1.759854560E-1,-8.611560464E-1,3.055250168E0,9.144232750E0,9.679521471E0
1.779854560E-1,-8.357871175E-1,3.036221266E0,9.135699272E0,9.663238633E0
1.799854560E-1,-7.915230989E-1,3.024748325E0,9.111067772E0,9.632609573E0
1.819901430E-1,-7.726376057E-1,3.023330927E0,9.110684395E0,9.630268371E0
1.839854560E-1,-7.535510063E-1,3.019864082E0,9.102419853E0,9.619847472E0
1.860292060E-1,-7.287757993E-1,3.007988691E0,9.099249840E0,9.611215208E0
1.879948310E-1,-7.092008591E-1,3.014031649E0,9.083840370E0,9.597057284E0
1.899854560E-1,-7.072088718E-1,3.017690182E0,9.099134445E0,9.612535881E0
1.919917060E-1,-7.026407719E-1,3.013792515E0,9.099785805E0,9.611594616E0
1.939854560E-1,-6.893672943E-1,3.009789228E0,9.114860535E0,9.623655284E0
1.959854560E-1,-6.758735180E-1,3.008276224E0,9.129119873E0,9.635733522E0
1.979932680E-1,-6.523912549E-1,3.014635086E0,9.126255989E0,9.633389197E0
1.999870180E-1,-6.494511962E-1,3.022076368E0,9.123326302E0,9.632747024E0
2.019854560E-1,-6.241587996E-1,3.026299477E0,9.106758118E0,9.616709736E0
2.039854560E-1,-5.959551334E-1,3.038950682E0,9.097937584E0,9.610559403E0
2.059854560E-1,-5.876998901E-1,3.048077345E0,9.099479675E0,9.614400502E0
2.079854560E-1,-5.832179785E-1,3.064578056E0,9.092775345E0,9.613029977E0
2.099963930E-1,-5.719077587E-1,3.073791027E0,9.085938454E0,9.608826533E0
2.119854560E-1,-5.785731673E-1,3.079671144E0,9.098281860E0,9.622777877E0
2.140151430E-1,-5.607794523E-1,3.076300383E0,9.097018242E0,9.619451051E0
2.159870180E-1,-5.662574172E-1,3.062232018E0,9.094758034E0,9.613143923E0
2.179854560E-1,-5.803161860E-1,3.057989359E0,9.084645271E0,9.603064381E0
2.199854560E-1,-5.975640416E-1,3.043078184E0,9.071898460E0,9.587322321E0
2.219854560E-1,-6.076675653E-1,3.030254841E0,9.072721481E0,9.584674191E0
2.239932680E-1,-6.114599705E-1,3.039678574E0,9.068373680E0,9.583784760E0
2.259854560E-1,-6.098031402E-1,3.045108557E0,9.072377205E0,9.589190484E0
2.279854560E-1,-6.081463695E-1,3.050136328E0,9.081234932E0,9.599062533E0
2.299854560E-1,-6.180296540E-1,3.059445143E0,9.098885536E0,9.619349419E0
2.319932680E-1,-6.112014055E-1,3.075103045E0,9.104708672E0,9.629410464E0
2.339854560E-1,-5.989430547E-1,3.102502346E0,9.113001823E0,9.645260796E0
2.359963930E-1,-5.839554071E-1,3.119204283E0,9.134588242E0,9.670115905E0
2.379854560E-1,-5.780369043E-1,3.127794743E0,9.159918785E0,9.696460115E0
2.399854560E-1,-5.744934678E-1,3.137103319E0,9.163318634E0,9.702467128E0
2.419917060E-1,-5.651273727E-1,3.138185501E0,9.156480789E0,9.695809282E0
2.439854560E-1,-5.583277941E-1,3.123351097E0,9.140669823E0,9.675685857E0
2.459854560E-1,-5.629630089E-1,3.113055944E0,9.121017456E0,9.654066713E0
2.479870180E-1,-5.576287508E-1,3.090761185E0,9.117991447E0,9.643729702E0
2.499932680E-1,-5.674737096E-1,3.075629950E0,9.117148399E0,9.638668006E0
2.519870180E-1,-5.756810308E-1,3.051237822E0,9.113653183E0,9.628090944E0
2.539854560E-1,-5.768493414E-1,3.044227600E0,9.114620209E0,9.626857140E0
2.559854560E-1,-5.754895210E-1,3.041402340E0,9.089529037E0,9.602127603E0
2.580073310E-1,-5.581554770E-1,3.038797379E0,9.083572388E0,9.594639877E0
2.599854560E-1,-5.587204695E-1,3.046602488E0,9.100503922E0,9.613174653E0
2.619854560E-1,-5.593525171E-1,3.044792414E0,9.117474556E0,9.628705955E0
2.639854560E-1,-5.514995456E-1,3.048862457E0,9.149211884E0,9.659595857E0
2.659885810E-1,-5.356212258E-1,3.041124582E0,9.170032501E0,9.675992192E0
2.679854560E-1,-5.447766781E-1,3.036374569E0,9.187461853E0,9.691532771E0
2.699854560E-1,-5.454469919E-1,3.008850813E0,9.199394226E0,9.694305017E0
2.719854560E-1,-5.565273762E-1,2.985033274E0,9.203618050E0,9.691580447E0
2.739854560E-1,-5.733155608E-1,2.974680662E0,9.234827995E0,9.719025871E0
2.759870180E-1,-5.808716416E-1,2.956302643E0,9.265751839E0,9.743269180E0
2.779854560E-1,-5.893950462E-1,2.957251072E0,9.276114464E0,9.753923312E0
2.799854560E-1,-6.059054136E-1,2.954013824E0,9.298217773E0,9.774976870E0
2.819870180E-1,-6.164782047E-1,2.952156067E0,9.313731194E0,9.789834501E0
2.839854560E-1,-6.412246823E-1,2.951916456E0,9.320953369E0,9.798221857E0
2.859854560E-1,-6.684419513E-1,2.946228027E0,9.292950630E0,9.771694103E0
2.879854560E-1,-6.735942960E-1,2.954895020E0,9.296704292E0,9.778233202E0
2.899854560E-1,-6.814185381E-1,2.967957735E0,9.299414635E0,9.785306172E0
2.919979560E-1,-7.099191546E-1,2.973368645E0,9.295784950E0,9.785526258E0
2.939854560E-1,-7.067012787E-1,2.990693092E0,9.313837051E0,9.807712908E0
2.959948310E-1,-7.105224729E-1,3.018599749E0,9.325760841E0,9.827848284E0
2.979870180E-1,-7.352976799E-1,3.040578604E0,9.310858727E0,9.822314959E0
3.000057680E-1,-7.546332479E-1,3.064673901E0,9.300037384E0,9.821017911E0
3.019854560E-1,-7.772919536E-1,3.089046955E0,9.279273987E0,9.810775688E0
3.039854560E-1,-7.965509295E-1,3.103661060E0,9.246120453E0,9.785599051E0
3.059854560E-1,-8.173229694E-1,3.122096539E0,9.186284065E0,9.736699572E0
3.080167060E-1,-8.814300895E-1,3.142629147E0,9.109726906E0,9.676784655E0
3.099854560E-1,-9.310571551E-1,3.145243645E0,9.053137779E0,9.629056478E0
3.119854560E-1,-9.665009379E-1,3.157310247E0,9.006325722E0,9.592530170E0
3.139854560E-1,-1.011760950E0,3.165460110E0,8.972644806E0,9.568288914E0
3.159870180E-1,-1.050412893E0,3.174443245E0,8.936511040E0,9.541576742E0
3.179854560E-1,-1.067746997E0,3.186260939E0,8.905251503E0,9.518185055E0
3.199854560E-1,-1.073598385E0,3.190283537E0,8.874280930E0,9.491226715E0
3.219854560E-1,-1.077103496E0,3.193903208E0,8.867031097E0,9.486063995E0
3.239854560E-1,-1.069288850E0,3.206276655E0,8.861065865E0,9.483779673E0
3.259854560E-1,-1.040347695E0,3.212846279E0,8.872557640E0,9.493523246E0
3.279917060E-1,-1.013963580E0,3.226521969E0,8.875200272E0,9.497775846E0
3.299854560E-1,-9.909983873E-1,3.234327078E0,8.889019966E0,9.510921375E0
3.319901430E-1,-9.661465883E-1,3.230678320E0,8.885418892E0,9.503756653E0
3.339854560E-1,-9.300419688E-1,3.219502211E0,8.875295639E0,9.486888069E0
3.359854560E-1,-9.105914831E-1,3.214407206E0,8.891442299E0,9.498386004E0
3.379854560E-1,-8.874826431E-1,3.214158297E0,8.896777153E0,9.501109551E0
3.399854560E-1,-8.667297363E-1,3.219665051E0,8.941405296E0,9.542860795E0
3.419979560E-1,-8.136742711E-1,3.234930515E0,8.999238968E0,9.597559234E0
3.439854560E-1,-7.723311782E-1,3.250808954E0,9.035477638E0,9.633489007E0
3.459854560E-1,-7.386208177E-1,3.259992838E0,9.060023308E0,9.656973457E0
3.479854560E-1,-6.897311807E-1,3.256554842E0,9.086331367E0,9.676894970E0
3.499995180E-1,-6.565954685E-1,3.239987135E0,9.096510887E0,9.678592075E0
3.519885810E-1,-6.184606552E-1,3.219521284E0,9.116650581E0,9.688195327E0
3.539854560E-1,-5.927373171E-1,3.198825836E0,9.141942978E0,9.703553250E0
3.559854560E-1,-5.591706038E-1,3.181319237E0,9.170118332E0,9.722372862E0
3.579870180E-1,-5.226925611E-1,3.153048754E0,9.207400322E0,9.746340064E0
3.599948310E-1,-4.983674586E-1,3.135303020E0,9.235011101E0,9.765445468E0
3.619854560E-1,-4.748180807E-1,3.104388952E0,9.274667740E0,9.791942844E0
3.639854560E-1,-4.690049887E-1,3.071397066E0,9.297634125E0,9.803032487E0
3.660073310E-1,-4.640920758E-1,3.054129839E0,9.295209885E0,9.795101701E0
3.679854560E-1,-4.616978467E-1,3.020907879E0,9.312266350E0,9.800885362E0
3.699854560E-1,-4.657871425E-1,3.007691860E0,9.325491905E0,9.809585479E0
3.719854560E-1,-4.755267501E-1,3.007088661E0,9.331803322E0,9.815867824E0
3.739854560E-1,-4.720695615E-1,3.016588926E0,9.319516182E0,9.806938375E0
3.759854560E-1,-4.670321345E-1,3.038002491E0,9.321939468E0,9.815606634E0
3.779885810E-1,-4.707479179E-1,3.056878328E0,9.307295799E0,9.807745093E0
3.799854560E-1,-4.831977785E-1,3.090588808E0,9.283947945E0,9.796780528E0
3.819854560E-1,-4.825657010E-1,3.111207724E0,9.260503769E0,9.781074236E0
3.839854560E-1,-4.740806520E-1,3.131481647E0,9.228354454E0,9.756713366E0
3.859995180E-1,-4.600506723E-1,3.151142836E0,9.174591064E0,9.711563674E0
3.880260810E-1,-4.552526474E-1,3.163085222E0,9.167398453E0,9.708427138E0
3.899885810E-1,-4.731708765E-1,3.170335054E0,9.194624901E0,9.737352931E0
3.919854560E-1,-4.828913212E-1,3.179614782E0,9.180690765E0,9.727703589E0
3.939854560E-1,-4.878425300E-1,3.186739922E0,9.174551964E0,9.724489981E0
3.959854560E-1,-4.810046852E-1,3.190896273E0,9.182232857E0,9.732758333E0
