cts,date,Accelerometer [m/s2],1,2,temperature [°C]
0,2023-09-16T12:23:12.469Z,14.551558752997602,-1.4148681055155876,6.60431654676259,49.3125
5.030150753768845,2023-09-16T12:23:12.474Z,13.762589928057555,-1.525179856115108,3.824940047961631,49.3125
10.06030150753769,2023-09-16T12:23:12.479Z,9.443645083932854,-0.539568345323741,0.23501199040767387,49.3125
15.090452261306535,2023-09-16T12:23:12.484Z,5.405275779376499,-0.23980815347721823,-0.20863309352517986,49.3125
20.12060301507538,2023-09-16T12:23:12.490Z,4.520383693045564,-0.8776978417266187,1.2709832134292567,49.3125
25.150753768844222,2023-09-16T12:23:12.495Z,4.585131894484412,-0.9904076738609112,1.6522781774580335,49.3125
30.180904522613066,2023-09-16T12:23:12.500Z,4.03357314148681,-2.0191846522781773,2.41726618705036,49.3125
35.21105527638191,2023-09-16T12:23:12.505Z,2.8657074340527577,-1.8872901678657075,2.1127098321342928,49.3125
40.24120603015076,2023-09-16T12:23:12.511Z,0.7721822541966427,-1.9640287769784173,4.685851318944844,49.3125
45.2713567839196,2023-09-16T12:23:12.516Z,1.2422062350119905,-2.647482014388489,5.690647482014389,49.3125
50.301507537688444,2023-09-16T12:23:12.521Z,0.22302158273381295,-1.1247002398081534,4.815347721822542,49.3125
55.33165829145729,2023-09-16T12:23:12.526Z,1.5203836930455636,-1.6091127098321343,6.858513189448441,49.3125
60.36180904522613,2023-09-16T12:23:12.532Z,2.647482014388489,-1.9784172661870503,7.983213429256595,49.3125
65.39195979899498,2023-09-16T12:23:12.537Z,1.4916067146282974,-1.501199040767386,6.191846522781774,49.3125
70.42211055276383,2023-09-16T12:23:12.542Z,2.7146282973621103,-1.8321342925659472,7.052757793764988,49.3125
75.45226130653268,2023-09-16T12:23:12.547Z,4.189448441247002,-1.5227817745803358,7.90167865707434,49.3125
80.48241206030153,2023-09-16T12:23:12.553Z,3.9952038369304557,-0.8776978417266187,7.597122302158273,49.3125
85.51256281407038,2023-09-16T12:23:12.558Z,5.381294964028777,-0.5707434052757794,7.388489208633094,49.3125
90.54271356783923,2023-09-16T12:23:12.563Z,6.916067146282973,-1.146282973621103,7.100719424460432,49.3125
95.57286432160808,2023-09-16T12:23:12.568Z,5.988009592326139,-0.539568345323741,3.985611510791367,49.3125
100.60301507537693,2023-09-16T12:23:12.574Z,8.424460431654676,-1.2326139088729018,3.405275779376499,49.3125
105.63316582914578,2023-09-16T12:23:12.579Z,11.182254196642686,-1.3237410071942446,1.2661870503597121,49.3125
110.66331658291463,2023-09-16T12:23:12.584Z,11.458033573141487,-0.014388489208633094,-0.6618705035971223,49.3125
115.69346733668348,2023-09-16T12:23:12.589Z,14.683453237410072,-0.4316546762589928,1.513189448441247,49.3125
