t_s,vx,vy,vz
0.001897,0.0,0.0,0.0
0.006901999999999999,0.04639526978417266,-0.0026285251798561144,-0.0031026199040767376
0.011906999999999997,0.09334865107913667,-0.004470893285371701,-0.006487296163069542
0.016912,0.1411121942446043,-0.005659130695443645,-0.010364070743405276
0.021916999999999996,0.18987193645083927,-0.006337266187050359,-0.014954988009592322
0.026921999999999995,0.2396938908872901,-0.006649328537170263,-0.02035606714628297
0.031927,0.29056605515587525,-0.006847368105515586,-0.026507296163069544
0.036932,0.3424524220623501,-0.007249448441247001,-0.03311461630695444
0.041936999999999995,0.3953469904076738,-0.00798759592326139,-0.04005200239808153
0.046942,0.4492857673860911,-0.009013800959232612,-0.04740347122302158
0.05194699999999999,0.5040887170263788,-0.010178033573141485,-0.05500699040767385
0.056951999999999996,0.5594437769784172,-0.011450287769784172,-0.06268252398081534
0.061957,0.6150508872901678,-0.012734544364508393,-0.07036405875299759
0.06696199999999998,0.6706159892086327,-0.013730743405275775,-0.07778154076738605
0.07196699999999999,0.7259890527577936,-0.014282853717026376,-0.08449688249400478
0.07697199999999998,0.7812660971223019,-0.014534904076738606,-0.0900299880095923
0.08197699999999998,0.8368131954436447,-0.014702937649880093,-0.09400878297362107
0.08698199999999999,0.8929604136690645,-0.015153027577937649,-0.09614520983213426
0.09198699999999999,0.9496357374100717,-0.01618523381294964,-0.09642126498800956
0.09699199999999998,1.0068151618705032,-0.017745545563549157,-0.09502898681055152
0.10199699999999998,1.0645226918465223,-0.019683932853717022,-0.09210640287769781
0.10700199999999999,1.12245226618705,-0.022054406474820144,-0.08771952637889684
0.11200699999999998,1.1802798201438844,-0.02492297961630695,-0.08212640887290164
0.11701199999999998,1.2375972721822537,-0.02806760791366906,-0.0759331714628297
0.12201699999999999,1.2937924999999997,-0.031056205035971222,-0.06961390887290163
0.127022,1.3483373980815345,-0.033570707434052764,-0.06339066546762584
0.13202699999999998,1.4009859172661867,-0.03559911270983213,-0.057425473621103076
0.137032,1.4519000899280572,-0.03720143285371703,-0.05183835731414863
0.142037,1.5014339868105513,-0.03849769184652278,-0.046875365707433995
0.14704199999999998,1.5498816666666662,-0.03963191846522782,-0.04270453237410068
0.152047,1.5972371282973616,-0.040550101918465226,-0.03916982613908868
0.157052,1.6434823681055153,-0.040982188249400475,-0.03599519184652273
0.16205699999999998,1.6888694364508388,-0.04082015587529975,-0.03271253597122298
0.167062,1.7339204376498796,-0.04022603717026378,-0.029051804556354865
0.172067,1.7788994244604313,-0.03888776978417265,-0.025229040767386034
0.17707199999999998,1.8235963549160665,-0.03633125899280575,-0.021394274580335687
0.182077,1.8683652997601914,-0.03290457434052757,-0.01742148081534767
0.187082,1.9136623501199037,-0.029195833333333317,-0.013394676258992749
0.19208699999999998,1.9596075299760187,-0.02563712230215827,-0.009601918465227774
0.197092,2.0064408872901676,-0.022600515587529967,-0.006295257793764938
0.20209699999999997,2.0541924280575534,-0.020092014388489208,-0.003816762589928016
