c1,c2,c3
6542,2514,-130
6596,3128,1162
7331,3462,2039
7405,3707,1366
7625,3427,709
6701,3758,368
6582,3548,302
6978,3490,51
6311,4232,357
5905,5128,918
5364,4526,1403
4691,3434,179
4690,3124,-421
4365,3949,472
3892,4679,865
4259,4040,35
3590,3562,-271
2413,4161,794
2644,4863,2488
1875,4971,2562
1713,4278,1596
1631,4223,720
1826,4469,556
2870,4607,1274
3876,4549,2204
4330,4431,2329
5095,4351,1863
6221,4084,1951
6594,4327,2039
7632,4275,2527
8036,4361,2010
9110,4159,-422
9973,3633,-1521
10210,3730,-117
10511,4329,1641
10312,4542,2539
9132,4541,1388
8477,4102,-753
7582,4387,-1868
6098,5175,-1090
5049,5476,652
4421,5347,537
2763,5228,677
2410,5417,1962
1492,5944,1774
177,5950,1121
-247,5643,1028
-1011,5829,901
-1682,6019,477
-1568,5588,152
-972,5281,469
-464,5488,1759
210,5406,2499
403,5408,2259
1649,5238,421
1909,5027,-605
2243,4953,-98
3177,5295,1655
4225,5468,1960
5518,5168,1929
5913,4491,1478
5874,4204,1361
6174,4213,1124
6758,4403,843
7182,4046,785
8407,3595,-12
8240,3740,-150
7989,4146,869
7769,4670,1422
6532,5243,1563
5611,5132,620
4830,4911,-165
3992,5005,139
3715,5055,1101
3229,5297,1433
2954,5232,1189
2177,5700,1676
1354,6331,2492
385,5966,1945
346,5314,1366
1009,5369,1494
1598,5108,1534
2652,4289,1182
2919,4504,611
3615,4839,1900
5081,4327,2031
4262,4493,1460
4451,3768,1795
5156,3410,1126
4612,3794,-81
4132,3938,1770
4777,3810,2277
4834,3309,218
4821,3514,-139
5059,3696,1701
4379,4290,2953
4645,4198,2694
5975,3434,1938
5292,3461,-114
4766,4147,-1375
5541,4069,-461
6317,4088,477
6464,4375,1988
5968,4215,3888
5061,4047,2621
4344,4593,-264
4106,4840,-741
4200,4638,-445
4529,4521,-180
4481,4547,865
4543,4749,1758
4355,4722,862
3115,4981,-246
1879,4979,753
1843,4681,1272
954,4553,254
254,4676,-224
498,4579,200
581,4781,550
1003,4528,557
956,4821,1679
-264,5919,3223
-82,5695,2229
186,5061,621
102,4815,801
758,5245,1935
2140,5150,2533
3508,4486,3073
4989,4220,2465
5538,4152,913
6222,3425,1241
6935,3661,1628
7065,4112,1926
8295,2802,2305
8774,2583,423
8149,3184,-458
8041,3280,387
7530,3840,545
7115,3642,1251
7290,3533,1174
6330,4078,1502
4707,4419,1149
3847,4094,313
3332,3723,835
2348,3851,1162
2078,3710,677
1930,3506,739
1631,3222,1270
1636,3594,1109
1436,3818,822
911,3705,1294
820,3582,558
439,3678,343
380,3499,1044
888,3142,1258
901,3488,1356
606,4281,1343
756,4292,1685
1616,3033,1500
1972,2657,1449
2371,3506,1809
2611,3874,2680
2932,3319,1743
3971,2076,168
4514,1539,643
4202,1997,1764
4949,1550,1491
5549,1552,1524
5368,1891,2385
4904,1622,1560
4283,860,392
4666,227,-368
5053,521,-453
3779,1248,1376
3702,1504,2434
4063,813,2373
3479,825,1717
2951,601,1281
2864,637,863
2904,1284,847
3655,1003,1832
3906,687,2232
3008,622,2105
3781,754,1898
4591,958,2081
4436,1071,1986
5203,674,1210
5447,726,1081
5227,1228,1251
6076,1019,905
6073,731,1207
5928,791,1661
6038,1032,1359
5393,1097,1082
4947,614,1008
4970,813,302
4141,1105,621
4331,1414,-67
4517,1455,390
3857,1461,1620
3385,1553,1685
3405,1391,956
2808,1641,398
2765,1912,669
2671,2075,1759
2066,1996,1787
2545,1827,727
2585,1898,878
2428,1854,1476
2711,2082,352
3096,1620,554
3385,1378,1770
3732,1807,1985
3607,1972,2386
3774,1614,704
3878,1198,-952
4015,899,-543
4273,1327,-154
4705,1095,1164
4762,1476,1911
4450,1665,1992
4201,1238,1451
3199,1434,-42
3102,1547,-483
3468,1512,700
3728,2209,408
4338,1728,1158
4147,1740,1675
3418,2089,1656
3664,1761,1479
3363,1850,1550
3130,2317,422
3273,2384,56
3392,2138,524
3460,2310,561
4404,1614,1283
4320,1837,1748
4053,2078,1528
3977,1959,1628
2644,2408,1359
2781,2185,600
3092,2235,813
3119,2479,1006
3480,2397,939
3548,2066,1442
3326,2231,1570
4091,2294,1499
3894,2215,1885
3543,1978,1367
3617,2066,571
3922,1985,365
3993,2125,893
4343,2244,1783
4299,2037,2686
4901,1927,1500
4899,1703,1445
3946,2046,1321
3707,2471,818
4190,1681,1359
4757,1658,345
5240,1901,663
4685,2117,2788
4120,2697,2579
4179,2883,1545
3922,2718,940
4331,1980,-135
3939,1833,-331
3647,2079,950
4023,2632,1576
4123,2674,1784
3620,1562,2146
3505,1067,1300
2586,1566,897
2615,1656,609
2938,1568,456
2471,1495,941
2858,648,907
3146,449,588
3029,938,2124
2677,1030,3622
2550,909,2963
2670,350,882
3235,-467,-702
3176,-695,-953
3449,-492,1149
4616,-164,2118
5793,12,3482
6235,-185,3321
5590,-523,1068
5061,-1118,1151
4456,-824,-295
4469,74,-359
5628,-395,1348
5711,-792,609
5122,-662,486
5024,-910,2310
4408,-654,2443
4144,-167,1410
4025,-52,302
3863,-155,-446
3097,-39,-325
3327,94,1196
3508,28,1455
3527,308,1021
4263,-120,1124
3331,537,431
3253,759,1283
3687,758,2147
3003,870,749
3749,432,1336
3767,463,399
3309,997,524
3652,930,1322
4610,1025,2098
4778,750,1730
4552,673,398
4470,718,-461
4227,1103,679
4315,1074,797
5042,452,440
4887,541,771
4834,1003,723
4507,1183,580
3945,1208,1413
3813,1180,1399
3581,1564,1329
3138,1676,743
3116,921,-583
2928,1204,77
3336,1818,1023
4161,1783,1422
3964,1804,1753
4255,1589,872
4064,1747,689
3327,2485,1266
3831,2401,249
4516,1703,746
4307,1782,269
3880,1769,-918
3960,1393,27
3871,1963,1217
4201,2239,1343
4172,1989,1590
3720,2122,-166
3164,1943,-914
3354,1609,-52
3580,1869,-58
3492,2204,789
3613,2111,1899
3262,2253,1307
3199,1981,1714
2874,1964,593
2424,2077,-1261
2445,1765,-911
2796,1948,-506
3668,1959,626
3975,1937,2648
4000,1638,2268
3711,1614,1123
3620,1736,542
3450,1598,-617
3472,1312,-850
4215,692,1257
4055,1304,925
4474,1032,1396
4824,431,1767
4360,799,399
4234,1075,420
4700,1333,1111
4775,1484,453
4277,618,-591
4605,134,276
4100,807,1780
3477,1555,2028
4306,1142,3295
4488,1170,2954
2698,1394,-65
2561,491,-1068
3088,172,-349
3293,1141,695
4538,1020,2936
4844,813,3298
4262,841,1788
4173,338,879
3593,-146,70
3840,354,-437
4498,1247,767
5125,1003,1510
4747,1027,990
4694,213,2352
4789,-437,2246
4807,240,828
4308,1119,1128
4085,1140,840
3989,433,965
4104,126,942
4969,17,1865
4909,492,2474
4256,555,451
4117,215,1042
4001,155,1592
3962,441,1516
4505,-175,1661
3721,242,581
3725,408,-611
3872,-120,777
4095,-417,1610
4573,-583,1653
4900,109,3076
4003,449,1855
3293,13,63
3427,-1062,94
3770,-1462,-294
3436,-324,748
3692,-779,718
3560,-1168,427
3448,-1457,1595
2840,-1736,1174
2563,-1353,513
2805,-1314,526
2955,-1270,-95
3394,-1158,1184
3024,-1039,2063
3208,-1286,1928
3411,-967,1927
3368,-461,2007
3242,-310,1371
3178,-77,1524
3572,-133,994
4542,-462,683
4885,138,570
5297,507,770
5142,548,777
5152,499,1180
5558,412,1543
5747,824,1865
5288,1595,1191
4761,1480,554
4293,900,711
3554,755,-923
3814,895,-153
4528,1022,1824
3930,1857,1729
3641,1699,3079
3017,1581,2360
2127,1688,-443
2615,1225,-292
3155,1372,343
2684,2197,100
2883,1816,1703
3366,1596,2797
3635,1639,2471
3969,1693,2169
3704,1735,894
2963,1383,341
2856,922,-253
3659,935,300
4795,1147,1828
4524,1960,1884
4121,1159,1938
4396,-95,1275
3955,523,-962
4661,866,384
4518,1433,1052
3828,1710,719
4427,201,1874
3921,94,1481
3164,872,227
3447,925,401
3556,1049,318
3254,775,851
3149,341,1014
3821,194,1881
3841,385,1484
3430,786,-132
3406,427,1164
2905,647,1087
3406,456,995
4270,-7,1471
4381,222,485
3688,634,671
3817,310,1745
3342,793,1249
3799,397,1458
4361,-409,1668
3759,409,678
3510,951,1717
3924,635,880
4179,468,760
5114,-139,2140
4682,523,1061
4359,1033,1531
4836,482,2690
4607,1046,1423
4568,737,192
4797,-76,-649
4430,267,-421
4714,8,1212
4806,353,2250
4759,1282,3038
4719,946,1694
4063,230,31
3521,211,-15
3084,833,-154
4021,1009,1308
5212,777,2848
4619,1408,2519
3574,1275,2612
2980,892,1319
3034,855,0
4401,370,182
4731,1226,-409
4801,1594,956
5149,706,3433
4807,634,1661
4819,219,1019
4473,-18,1561
2856,1135,-519
2427,952,-550
3110,-161,-236
2935,317,624
3899,516,2473
3788,489,2792
2538,933,1701
1968,301,369
1860,51,1387
2114,197,2448
2159,513,1443
2218,776,1485
1988,1324,2927
2174,1044,2430
2875,223,252
4225,17,635
4406,865,1744
4117,1319,1834
5167,955,1144
6458,446,700
6965,213,409
6094,828,220
5867,860,834
5929,291,799
5247,13,413
5146,92,-17
4410,790,-6
3761,1031,926
3956,660,559
4211,598,-66
3862,801,548
3483,717,960
3510,699,1237
3488,1257,2639
3082,1417,2546
2202,1524,2020
2469,945,552
2722,967,450
2669,1964,1950
2808,2019,2950
4016,1097,2678
4834,971,1627
4610,1259,1472
4123,984,1744
4283,716,770
5515,531,478
6377,840,877
6064,915,628
5544,248,973
5335,303,1649
5119,728,1934
4600,795,1439
3797,746,372
2797,936,208
2371,714,778
2907,226,1880
3198,235,2362
2709,776,657
2359,988,-152
2225,569,1163
2704,579,1772
3617,668,2721
4404,680,4026
3503,1166,2270
2275,1048,505
2610,541,-154
3519,409,824
4381,310,2146
4598,379,2727
4316,1065,2357
3920,1141,1929
3586,726,1050
3769,156,793
4567,156,9
4680,933,-521
4765,1230,877
5150,1071,1260
5622,715,1602
6392,-132,2346
5102,515,1701
3643,1227,657
3344,965,348
3906,806,0
3991,406,-289
3723,232,1003
3184,535,1731
3387,493,1399
4019,326,2557
3486,1159,2879
2390,1579,478
2541,267,-618
3206,-940,-778
2735,246,-766
3469,754,1552
4004,1015,2156
3767,1141,1583
4055,-188,1937
3165,-43,709
2368,609,-947
2645,108,-388
2756,261,75
2558,452,1434
3274,352,3141
3510,582,3207
2611,316,1473
2000,-93,-74
1719,232,688
1724,756,572
3277,-325,3904
3670,110,3379
3254,1063,1450
4406,-236,2951
4058,-152,1390
4522,465,68
6347,-304,2210
6590,471,1967
6826,503,2191
7384,-551,2587
6826,-177,274
7028,308,260
7294,181,673
6457,179,511
5889,57,669
5616,97,1234
5326,426,941
4543,704,705
4270,206,1621
3873,-426,1440
2802,-130,-438
3094,206,1216
3797,-369,2302
3411,-57,1204
3253,-19,1573
2795,182,949
3018,73,1433
3606,-765,1097
3464,-492,965
3550,-489,1925
3196,-279,986
3728,-414,1371
4650,-535,1503
3994,-547,277
3801,-679,195
3959,-591,1065
4749,-425,1663
4986,-304,1559
4112,-83,457
3728,-331,836
3736,-380,903
3208,-56,147
3465,-281,728
3332,-30,1117
3335,-88,1582
2978,-279,483
2877,-9,888
3468,-129,1087
2798,30,-425
3375,-215,16
3506,-137,2013
3730,203,2147
3763,436,1690
4097,-54,1811
3736,380,1560
3182,716,1198
3470,286,1597
3948,390,1830
3814,747,1341
4261,496,1389
4154,345,1815
4305,-91,1555
5079,323,1103
5770,782,1046
5585,574,390
5684,139,595
5440,48,1343
5701,203,1881
5016,507,783
4430,90,211
4455,26,1235
3644,708,82
4165,571,856
4791,560,2709
3213,1161,1233
2718,287,67
3157,-891,1880
2312,644,892
2703,1098,1730
3270,379,1386
2726,430,284
2880,-311,713
3257,82,1602
4010,1138,3224
4123,989,2640
3395,384,151
3542,-426,748
3640,-248,3
3855,833,-249
5188,416,2035
4738,185,1711
3998,210,1017
4168,246,1795
3848,594,166
3086,788,-1128
3538,446,778
2887,1151,1154
2639,1208,167
3812,140,1535
3041,583,1077
2670,1294,1042
3137,1152,2764
2022,1543,1122
2170,1221,1486
2655,712,2538
2343,1465,-167
3048,1290,809
3429,1226,1488
3839,1699,1172
5201,1096,1538
5658,711,639
5377,945,1170
5152,1265,1308
5513,709,389
6041,629,630
5351,1396,-112
5073,1412,1475
4971,651,1223
4938,797,-39
5022,1277,1590
4787,1467,2144
3906,1218,2170
3448,977,839
3653,848,1534
3462,1569,1506
3161,1953,487
3610,932,963
4179,549,1552
4096,913,990
4754,893,1195
4817,1010,122
4966,1209,75
5164,357,897
4472,389,-499
4818,582,134
4850,672,1037
3692,1104,478
3227,176,736
2781,153,-152
2858,797,-175
2652,555,38
2291,436,790
1750,450,1625
1812,368,1343
2161,372,2228
1258,870,1372
744,1049,491
570,322,1301
1127,-49,1837
1939,225,2112
3106,464,3070
3984,552,3459
3781,673,3069
4073,266,1729
5410,-160,514
6719,372,-498
7653,628,-237
8680,788,1754
8881,124,2123
8243,-447,582
6875,-653,-939
5049,-134,-1138
4018,325,678
3559,233,1162
3350,64,1643
3025,-38,1069
2232,-1,649
1544,150,1713
1332,743,2096
1740,761,2455
2333,480,2863
1968,558,2739
1888,607,2867
2720,279,3159
3289,624,2806
4440,618,2253
5588,267,2444
6251,705,1902
7218,877,1766
9377,507,1258
9849,1003,32
9790,962,-399
8892,290,-71
7116,-170,-122
5506,-153,152
4075,387,746
3122,361,997
2514,507,967
1454,965,1265
414,863,1165
133,187,1289
-715,827,1220
-1172,1629,1620
-1352,1167,2055
-1284,688,2021
-1481,1022,1797
-1020,1057,1577
-387,1055,2486
-582,1504,2685
-321,1471,2293
1694,960,3142
2743,1365,3183
3423,1643,2651
3999,1719,2814
4303,1634,2832
5084,1364,2199
5897,1564,2209
7068,1604,1680
7382,1711,264
7712,1379,570
7982,634,1122
7236,830,1832
6156,913,2591
4790,1205,1963
3655,1593,1780
3581,1220,1675
3070,953,1285
2791,1629,1713
3047,2244,3013
3214,2251,3002
3305,1641,3062
3033,1598,3234
2535,1673,2327
2735,1340,1593
2942,1271,2018
2737,1696,2165
3569,1334,2673
3896,774,3048
3904,752,2217
3706,934,1857
3384,1143,1739
3745,931,1809
3897,958,2194
3829,1118,2377
3533,1180,2051
3271,1116,1613
3211,1078,1427
3042,975,1873
2523,1234,2256
2505,1238,2753
2129,1429,2817
1829,1440,2394
1632,1561,2173
1731,1508,2150
2136,1570,2627
2920,1658,3269
2742,1680,3453
3117,1705,3115
3296,1942,3310
3535,2188,3327
3595,2300,3023
3874,2177,3004
4234,2267,2774
4964,2392,2422
5319,2231,2958
5488,2461,3465
5552,2621,3596
5959,2294,3173
6229,2302,2694
6245,2338,2331
6433,2172,1791
6243,2350,1748
6047,2174,1900
5749,1907,1741
5672,1510,1769
4946,1951,2037
3969,2058,1354
3441,1644,1179
3050,1480,1499
2329,1577,1016
1919,1652,1208
1675,2006,1849
1156,2662,2211
1099,2663,2593
1024,2766,2351
702,2999,1993
1045,2952,2117
988,3377,1834
1595,2897,2576
2677,2602,3468
3359,2953,2593
4009,2829,3445
4555,2875,3115
4291,3089,1867
5364,2161,1081
6043,2192,662
6653,2841,1031
6785,3506,1490
6793,3260,1409
6707,2837,684
5901,3004,1286
4555,3298,1665
3121,3752,637
3022,3125,204
2444,3179,1018
1506,3897,803
1119,3712,1104
1027,3448,1725
809,3663,1678
434,3906,1950
-40,3918,2449
-458,4283,1793
-336,4216,1584
269,4140,2313
934,4309,2561
1414,4292,2444
2525,4039,2804
3278,4010,2311
3768,4105,2453
4672,4186,2907
5093,4278,1869
5367,4061,1651
6348,3766,1950
6695,3992,2041
6558,4124,1446
6925,4040,1539
7126,3925,1855
6668,4338,2347
6703,4658,3284
6768,5073,3348
6461,5069,2243
6774,4336,1105
6698,4336,1277
6842,4742,1175
7753,4596,2230
7409,4733,2361
6785,4844,882
6127,4282,-70
5174,4539,-147
5038,4656,243
4395,4331,895
3538,4639,1279
2814,5381,1540
1826,5545,1207
975,5120,1393
254,5327,1237
63,5387,1559
352,5189,1870
1067,5098,2655
877,4805,2566
1437,4213,1770
2252,4110,423
3159,3998,740
4033,4419,2106
4340,4793,1696
4714,4577,1368
4631,4389,964
4103,4227,949
3298,4202,1938
2715,4451,1657
2101,4548,1129
1358,4288,1063
1010,4139,1314
1114,4020,2249
983,3794,2612
716,3881,2170
980,3767,2418
926,3276,2841
908,3193,2049
1015,3256,1930
1274,3418,3530
1377,4085,3789
2227,3949,3007
2845,3605,3710
3413,4032,3213
4609,4161,3137
6012,3958,3638
6856,4216,3123
8163,4233,3998
9078,4153,4435
10346,4172,3213
10560,4449,2843
10515,3591,3061
10561,3424,1237
10122,3769,1226
9518,4031,2464
9543,3867,2019
8080,3672,1400
6550,3399,1575
5641,3288,1966
3878,3281,1353
3221,2959,263
3275,3032,1017
1985,3358,952
1479,3261,886
1541,2536,1253
518,2856,988
-473,3524,1041
-64,3477,1095
-339,3466,1045
29,3043,1441
618,2808,681
625,3236,800
1260,3685,2192
1969,3444,1867
1748,3030,1081
1742,2800,1506
1865,3253,1573
1236,3727,1303
1099,3394,1543
2245,3395,2196
2951,3591,3176
2339,3539,2549
3189,3369,2328
3372,3985,2473
3138,3978,3076
4098,3730,2699
4753,3795,3265
5580,3897,3487
6459,4083,2760
7635,4017,3598
7823,4259,3194
8173,4204,1717
9102,3843,2808
9131,3946,3008
9365,3905,1900
8709,3652,1564
7356,3995,770
8133,3829,20
7745,3172,842
6267,3455,1273
6146,3834,839
5174,4049,1122
3105,3943,1383
2827,3741,1127
2301,4184,1711
1079,4231,2250
606,4041,1868
1180,3623,1570
1261,3287,1552
1676,3015,1860
2991,3217,2671
3657,3750,3641
4587,3658,2955
5646,3643,2043
6194,4040,2707
7267,4216,1328
8181,3797,251
8942,3570,1243
9551,3913,1119
9483,3244,841
8067,2965,1424
6830,3366,429
6462,3218,599
4211,3332,728
2804,3813,123
2694,3684,234
1710,3791,109
960,3860,446
1765,3710,768
1435,4549,943
1301,5150,1681
2212,4937,1486
2726,4943,615
2700,4457,-178
3842,3446,-759
4226,3494,-585
4371,3930,1591
5177,3790,1309
5861,3362,110
5347,3506,-164
4636,3886,-1049
4568,3958,-1215
4175,4349,241
3727,5198,516
4054,4863,1018
3784,4516,1266
3693,4685,967
4682,5188,882
4972,5322,1162
5896,4686,913
7097,4333,503
8503,4127,933
8642,4616,1204
9582,4198,580
10223,3376,-642
9632,3338,-910
9799,4185,-1176
9256,5001,183
7489,4521,933
5890,4102,-1107
4525,4000,-475
2958,4658,307
1461,5417,-353
928,5112,-545
324,4821,205
-314,5201,737
97,5154,701
272,4726,1691
626,4445,1116
1221,4328,19
1267,4055,268
2239,4346,603
4348,4444,308
5162,4368,532
5872,3874,1225
7494,3858,-597
8619,4044,-772
8946,3900,56
9084,4042,-613
8719,3810,-17
6987,3436,-404
6253,3410,-2320
5924,3190,-1606
4144,3414,-225
3902,4028,3
4923,3658,643
3117,3502,336
1642,3694,-287
1474,4102,-533
806,4229,-729
-312,4606,-168
311,4448,804
1529,3749,1755
1141,3825,1997
2216,4399,1613
3992,4306,1110
3540,4214,919
4408,3765,347
6732,3420,516
7190,3817,1914
7690,4038,2431
9613,3176,1337
9983,2407,370
8737,3132,9
8451,3476,-445
8069,2882,-273
6477,2875,-742
6604,2281,4
6027,2135,1551
3966,3062,1577
3024,3379,420
2667,2531,534
240,2808,-552
-111,2863,-715
909,2536,458
629,2111,1240
-610,2144,1047
-777,2503,888
-878,3228,1456
-1198,3439,1458
244,2882,457
1694,2284,290
1956,2454,1141
3220,3062,2035
4735,2991,2448
5319,2349,2182
6047,2179,1106
7207,2226,-87
7724,2094,381
8578,2073,1902
9407,2217,1991
9492,1941,1837
9771,1441,360
10006,1509,-2004
9110,1611,-1865
8545,983,-60
7065,1545,1246
5617,1913,1700
4607,2030,523
3609,2526,-818
2241,2479,-595
2092,1954,146
1928,2363,143
1663,2664,886
1736,2966,576
2574,2943,-1156
3305,2751,-751
3311,3075,629
4131,3954,1397
5031,3708,1966
4680,3232,1178
4862,2823,-1119
5869,2011,-3010
6191,1764,-2669
7245,1723,-1034
7666,2174,814
6983,2075,1217
7021,1888,422
6456,2835,-1360
4693,2920,-1548
4157,2715,-1789
5064,2801,-708
4691,2800,914
3883,3027,654
4192,3062,-1321
4156,2805,-2121
4355,2666,-643
4684,3176,706
4418,3061,1495
3793,2964,-45
4129,2831,-2215
4254,2296,-2104
3925,2389,-1792
4827,2803,-1066
5077,3396,893
5540,3202,1084
5900,3497,-1256
5586,3764,-2197
4708,3474,-1419
5073,3333,-1521
4487,4108,-326
3515,4399,736
3923,4063,-861
3841,3595,-2091
2998,3167,-891
2882,3379,-408
3374,3984,391
3557,3662,1944
3353,3475,1011
2886,3575,-1938
3031,3436,-2174
4360,3795,110
5670,4097,1986
6396,3444,1523
6981,2866,-699
7944,2405,-1982
8407,2399,-298
9129,2899,750
9217,3157,829
9544,2236,1328
9150,1818,-1335
8232,2059,-2960
8293,1979,-1122
7428,2349,-199
6607,2426,-346
5364,2216,567
3444,2216,-68
2901,1944,-1203
2873,1979,-1218
1833,2602,-882
844,2785,241
418,2095,609
-970,2486,-653
-1260,2931,-658
232,2455,836
-366,3299,-434
30,3225,75
719,3093,2065
334,3271,1616
1160,2365,36
3240,1727,-757
3301,2711,77
3858,2986,1474
5684,2544,1603
6481,2058,863
6933,1469,1405
7777,1956,455
7995,2461,-1029
9005,1891,36
8414,2082,96
7115,1988,439
6119,2066,595
5755,2845,-356
4384,3454,-17
4505,2873,1446
4755,3030,667
3641,3953,1194
3780,3454,2845
3895,3553,970
4102,3490,-1
4786,2191,934
5856,2195,24
6373,2911,650
5981,2973,2393
6782,2616,1087
6933,2790,63
6446,2022,1151
5993,2105,-273
5749,2616,-1100
5109,2316,965
4428,2175,470
4359,2309,-617
3379,2038,1273
2396,2162,1702
955,3018,-335
694,2352,424
248,2314,1134
341,2403,450
540,2281,1174
383,3063,2192
587,3600,1889
1562,3567,2152
1550,3696,2619
2860,3639,2732
3928,3917,2475
4392,3897,2757
5037,3872,2130
6055,3898,1072
7342,3635,2068
7932,3987,2868
9517,3956,2662
10746,4186,3112
9677,4416,3063
9334,3871,799
9109,3382,-245
7588,3498,572
7083,3713,920
7214,3854,1261
6183,3786,2177
4959,3969,1349
4455,3810,100
3190,3794,-538
1819,4471,445
1658,5045,2357
1500,4956,2539
715,4463,1858
-509,4582,1426
-775,4378,1309
-775,4304,1222
-681,4736,1831
211,4732,2788
782,4219,2669
868,4003,2400
1657,3888,1959
2744,3810,2013
3700,3933,2374
4891,3842,2602
6499,3385,2216
6987,3329,1812
7241,3522,1156
8238,3570,858
9646,3454,1767
9458,3531,1658
8959,3428,546
9319,2897,-425
8291,3269,-199
7141,3387,1801
6718,3494,2492
5228,4182,1662
3543,4530,1059
3364,3889,1133
2548,3872,1149
1807,4219,1435
1600,4640,2746
1663,4610,3052
1014,4593,2724
924,4233,2651
1321,3957,2297
1529,4143,2083
1639,4203,2422
2200,4058,3137
3221,4130,2593
3570,4254,2353
3906,4206,2482
4250,4278,1850
5495,3449,1101
6067,3270,705
6157,3461,1411
6851,3388,1598
6738,3173,1166
5883,3307,1028
5714,3110,1119
5297,3217,606
4508,3390,514
4089,3387,1138
3789,3918,1662
3660,3865,2335
3387,3475,3074
2525,4011,2611
2008,4508,1852
2165,4055,1541
2030,3522,1869
2140,3526,3068
2359,4003,3498
2251,4568,3386
2803,4141,3542
2966,3752,2890
3446,3136,2070
4020,3139,2570
4345,4018,3003
4383,4043,2766
5132,3217,2873
5713,2920,1644
6187,2794,725
6620,2743,682
6829,3010,1310
7265,3305,1935
6795,3672,2600
5705,3829,1932
5196,3418,1146
5317,2876,282
4582,3154,520
3838,3605,2469
3896,3911,2674
4595,3593,2145
4014,3470,1357
3408,3466,1842
3784,3739,1541
3897,4382,1648
3781,4447,2791
3581,3966,3353
3681,3334,2048
3736,3288,921
3773,3648,1414
3837,3962,2330
4177,4054,3098
4611,3996,2792
4059,4010,2332
4032,3913,2260
3915,3805,2066
3756,3720,1897
3419,3686,2884
3904,3974,3245
4768,4053,3014
4627,3795,2919
4737,3538,3231
5489,3277,2248
5730,3320,1570
5485,3371,1633
5990,3940,1119
6981,4140,1877
7682,3478,2503
6742,3689,1952
6478,3995,1637
6626,3842,1248
5803,4079,192
5544,3757,-76
5449,3084,880
4829,3429,611
3944,4034,807
3966,4603,1709
3894,4233,1695
3615,3703,863
2788,3795,606
2075,4244,1306
1902,4841,1419
1968,4858,1702
2119,4104,2185
1828,3291,2174
1958,3464,1550
2330,4363,1786
2985,4369,2172
3768,3267,2131
4652,2567,1191
5385,2658,935
5862,3082,1566
6311,3852,1713
7255,3833,1710
8087,3057,1588
8052,2459,715
7425,3030,615
7523,3763,837
7231,4002,167
7372,3612,-145
6983,3321,1068
6644,3018,829
5850,3197,-63
5246,3463,265
4864,3988,496
3975,4289,844
3841,3281,707
2939,3469,-121
2475,4277,1200
2656,4386,2418
2095,4234,1481
1710,3509,1035
1805,3050,782
2202,3632,-438
2209,4066,263
2296,4326,1920
2740,4115,1951
3713,3635,1543
3876,3810,904
3814,4083,741
4421,3878,670
5510,3996,157
5767,4070,212
5358,3924,1374
5549,3992,1520
6349,4046,1209
6730,4029,1295
6024,3550,566
6032,2840,-344
5749,3495,-287
5819,4490,464
5939,4348,1963
6141,3846,2124
5825,3821,1709
5249,3559,1147
4847,3550,56
5485,3933,-55
6381,3632,1365
6287,3402,1894
5743,3334,1486
6442,3439,948
7090,3891,528
6701,3728,757
6292,3096,810
6821,3022,-39
7207,3603,-197
6742,3921,388
5907,4128,1064
6222,4315,881
6303,4336,310
5160,3933,1002
4212,4131,152
4196,4532,-128
5138,4411,33
4386,3909,272
4187,3051,1098
4404,3223,1573
4006,4649,765
3335,5038,604
3392,3831,790
3431,3469,-149
3638,3750,-358
4135,4054,824
3799,4300,1675
4266,4081,1720
4568,3826,1167
4153,3936,688
4035,3888,393
4261,3491,42
4579,3514,-746
5176,3773,-132
5836,3871,1497
5565,3960,2127
5150,3919,2103
4881,4023,1246
4693,3902,86
4675,3357,-582
4241,3233,-291
4032,3394,198
4370,3271,1405
4972,3172,2019
4780,3693,2331
3617,4149,2031
3517,3605,440
3929,3097,-626
4349,3083,-12
4424,3675,1505
5452,3726,2462
6765,3298,2535
6958,3056,2842
6292,3256,2553
6466,3122,469
8077,2416,-1887
8332,1865,-1345
8726,1801,-94
9705,2273,996
10420,2883,1295
10133,3038,474
8400,2767,-698
7777,2300,-2147
7274,2517,-2306
6256,3564,-1293
4947,4236,666
4630,3776,1963
3696,3459,2005
2360,3532,1208
873,3899,475
-75,4139,-90
-619,4034,-86
-570,3518,-160
-433,3077,994
95,3138,2811
521,3247,2937
221,3210,2119
149,3388,1499
1069,2969,451
2307,2339,-264
3632,2110,342
4541,2254,1210
5348,2506,1816
6101,2798,2029
6857,2272,2219
6876,1980,1165
6730,1864,-607
7389,1413,-1664
8021,1389,-2193
8494,1606,-958
8988,1857,889
8579,2502,1562
7664,3031,1802
6316,3320,1030
5126,3437,-885
4775,2748,-1761
4603,1956,-1717
3764,2384,-420
3796,3118,1985
4250,3521,3379
3669,3884,3041
3106,3219,1873
2731,2523,460
2842,2436,-1240
3876,2265,-1630
4915,2578,295
5692,2978,2371
6495,3091,2635
7518,2507,1955
6789,2452,1096
6101,2755,-698
6865,2755,-2387
7691,2281,-2456
7577,2021,-950
7283,2435,1229
7273,3086,2181
6719,3990,1325
5402,4171,545
4657,3298,-425
4682,2632,-2058
4864,2742,-2191
4954,3486,47
4570,4384,1948
4729,4919,1875
5250,4278,1646
4463,3626,1240
3749,3809,-288
4181,3795,-1245
4657,3602,-1258
4792,3360,-196
5254,3184,1253
5749,3339,1527
5553,3858,475
4987,4015,-275
