center_x,center_y,left_x,left_y,right_x,right_y
-90.28493541708008,34.165659719070455,-93.00121469526493,31.229364964979244,-87.56865613889522,37.10195447316166
-90.28493541708008,34.783065018827735,-93.00121469545073,31.846770264908397,-87.56865613870943,37.719359772747076
-91.01909127288387,34.783065018827735,-93.79985195619696,31.907761552732353,-88.23833058957078,37.658368484923116
-91.01909127288387,35.709172968858475,-93.86039471499934,32.893681049171484,-88.1777878307684,38.524664888545466
-91.75324712868766,35.709172968858475,-94.5945505708031,32.89368104917144,-88.91194368657223,38.52466488854551
-91.75324712868766,36.3265782694054,-94.59455057078813,33.51108634970326,-88.9119436865872,39.14207018910754
-92.4874029844132,36.3265782694054,-95.3855491628995,33.569632726213584,-89.5892568059269,39.08352381259722
-92.4874029844132,37.25268621943615,-95.43892196788917,34.55295740153963,-89.53588400093722,39.95241503733267
-93.22155884021699,37.25268621943615,-96.1197050187326,34.49574067627515,-90.32341266170137,40.00963176259715
-93.22155884021699,37.87009151919343,-96.0628622823324,35.05459959950639,-90.38025539810157,40.68558343888047
-93.95571469602078,37.87009151919343,-96.85386087439554,35.11314597588435,-91.05756851764602,40.62703706250251
-93.95571469602078,38.79619946922417,-96.9523161832305,36.146599588704,-90.95911320881106,41.44579934974434
-94.68987055174631,38.79619946922417,-97.6810349401875,36.14046311157848,-91.69870616330512,41.451935826869864
-94.68987055174631,39.41360476898145,-97.62648119674576,36.697667008340396,-91.75325990674686,42.129542529622505
-95.4240264075501,39.41360476898145,-98.41519079602145,36.757868411369714,-92.43286201907875,42.06934112659319
-95.4240264075501,40.3397127190122,-98.51221286661112,37.79744908318051,-92.33583994848908,42.881976354843886
-95.91346364477872,40.3397127190122,-99.04802040603607,37.85484775075823,-92.77890688352136,42.824577687266164
-95.91346364477872,40.95711801876948,-99.04802040603612,38.47225305051557,-92.77890688352132,43.44198298702339
-96.64761950050425,40.95711801876948,-99.82709611648303,38.52999452614614,-93.46814288452546,43.384241511392815
-96.64761950050425,41.88322596880022,-99.91254337728606,39.57232309788157,-93.38269562372244,44.194128839718864
-97.13705673773286,41.88322596880022,-100.40682382444356,39.57918100425127,-93.86728965102216,44.18727093334917
-97.13705673773286,42.80933391883096,-100.31826518718654,40.38448076840627,-93.95584828827918,45.23418706925565
-97.8712125934584,42.80933391883096,-101.05068920965894,40.38221042649812,-94.69173597725785,45.2364574111638
-97.8712125934584,43.735441868861706,-101.13613647043928,41.424538998224335,-94.60628871647751,46.04634473949908
-98.36064983068701,43.735441868861706,-101.66914793876936,41.48736707721987,-95.05215172260466,45.98351666050354
-98.36064983068701,44.35284716940863,-101.66914793876934,42.10477237776677,-95.05215172260468,46.600921961050496
-99.0948056864908,44.35284716940863,-102.40330379447764,42.10477237762622,-95.78630757850397,46.60092196119105
-99.0948056864908,45.278955119439374,-102.44678220507758,43.096238138508774,-95.74282916790402,47.461672100369974
-99.58424292364116,45.278955119439374,-102.97949577833481,43.16418372453764,-96.1889900689475,47.39372651434111
-99.58424292364116,46.20506306947012,-102.97949577834864,44.09029167459059,-96.18899006893368,48.319834464349654
-100.07368016086977,46.20506306947012,-103.50155818298552,44.14359459639182,-96.64580213875402,48.26653154254842
-100.07368016086977,47.131171018711214,-103.53179634724152,45.12083959291256,-96.61556397449802,49.14150244450987
-100.56311739802013,47.131171018711214,-104.0212335843919,45.120839592912574,-97.10500121164836,49.141502444509854
-100.56311739802013,48.05727896874196,-104.02123358437922,46.04694754292152,-97.10500121166103,50.0676103945624
-101.05255463517048,48.05727896874196,-104.5106708215169,46.04694754289971,-97.59443844882406,50.067610394584214
-101.05255463517048,48.9833869187727,-104.51067082152957,46.97305549295225,-97.59443844881139,50.993718344593155
-101.78671049097427,48.9833869187727,-105.2448266774205,46.97305549310216,-98.32859430452804,50.993718344443245
-101.78671049097427,49.90949486880345,-105.24482667748228,47.899163443239175,-98.32859430446626,51.919826294367724
-102.27614772820289,49.90949486880345,-105.73426391469822,47.899163443217354,-98.81803154170755,51.919826294389544
-102.27614772820289,50.83560281883419,-105.77373087961475,48.89474937280589,-98.77856457679103,52.77645626486249
-102.76558496535324,50.83560281883419,-106.30208614369,48.9666032426912,-99.22908378701648,52.70460239497718
-102.76558496535324,51.76171076886494,-106.3403376783073,49.96695645664626,-99.19083225239918,53.556465081083616
-103.25502220258186,51.76171076886494,-106.88857517705077,50.08919984760668,-99.62146922811294,53.434221690123195
-103.25502220258186,52.68781871889568,-106.90827584463203,51.058788999446975,-99.60176856053168,54.31684843834438
-103.49974082115703,52.68781871889568,-107.1529944632072,51.05878899944693,-99.84648717910687,54.31684843834442
-103.49974082115703,53.61392666892642,-107.18616826593818,52.061427814059094,-99.81331337637589,55.16642552379374
-103.98917805830739,53.61392666892642,-107.70772596904925,52.14001980771798,-100.27063014756553,55.08783353013486
-103.98917805830739,54.848737269230625,-107.70772596905937,53.37483040804771,-100.27063014755541,56.32264413041354
-104.478615295536,54.848737269230625,-108.19716320629811,53.37483040807327,-100.76006738477389,56.32264413038798
-104.478615295536,55.77484521926137,-108.19716320628802,54.30093835807855,-100.76006738478398,57.2487520804442
-104.72333391411118,55.77484521926137,-108.45704180020554,54.33977538774906,-100.98962602801681,57.20991505077369
-104.72333391411118,56.70095316929211,-108.49907931160502,55.38044315671965,-100.94758851661734,58.021463181864576
-105.21277115126153,56.70095316929211,-109.0041042290218,55.42588709512936,-101.42143807350126,57.976019243454864
-105.21277115126153,57.62706111932286,-109.02019819244795,56.40088848627219,-101.40534411007512,58.853233752373534
-105.45748976991497,57.62706111932286,-109.30098384582855,56.51911108054981,-101.61399569400139,58.73501115809591
-105.45748976991497,58.86187171883742,-109.28550950837621,57.70158516718252,-101.62947003145374,60.02215827049232
-105.70220838849015,58.86187171883742,-109.50475513624593,57.62064723022469,-101.89966164073437,60.10309620745015
-105.70220838849015,59.78797966886816,-109.53022812694348,58.62769311718721,-101.87418865003681,60.94826622054911
-105.94692700706533,59.78797966886816,-109.79899511106078,58.71021748629685,-102.09485890306988,60.86574185143947
-105.94692700706533,61.02279026917237,-109.84559421683211,60.12814285958058,-102.04825979729854,61.91743767876416
-106.43636424429394,61.02279026917237,-110.33503145406638,60.12814285960521,-102.5376970345215,61.917437678739525
-106.43636424429394,61.948898219203116,-110.3350314540795,61.05425080969317,-102.53769703450838,62.84354562871306
-106.68108286286912,61.948898219203116,-110.58469610959163,61.076084596479134,-102.7774696161466,62.8217118419271
-106.68108286286912,62.875006169233856,-110.58469610959163,62.002192546509875,-102.7774696161466,63.74781979195784
-106.68108286286912,64.10981676874842,-110.61168178685787,63.36793261422125,-102.75048393888036,64.85170092327559
-106.9258014814443,64.10981676874842,-110.86930872858917,63.43992827674707,-102.98229423429942,64.77970526074976
-106.9258014814443,65.34462736905262,-110.88096673027395,64.74741061238029,-102.97063623261464,65.94184412572494
-107.17052010001947,65.34462736905262,-111.14172921355967,64.86556768953946,-103.19931098647928,65.82368704856577
-107.17052010001947,66.27073531908337,-111.15254338219881,65.8919338140947,-103.18849681784013,66.64953682407204
-107.17052010001947,67.50554591938757,-111.15254338220063,67.12674441441807,-103.18849681783831,67.88434742435707
-107.41523871859465,67.50554591938757,-111.4045066060835,67.21272904512956,-103.4259708311058,67.79836279364558
-107.41523871859465,68.43165386941831,-111.40906357610106,68.20947599571376,-103.42141386108824,68.65383174312286
-107.41523871859465,69.66646446893287,-111.41210029215112,69.50804236874583,-103.41837714503818,69.82488656911991
