GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:03:59 GMT+02:00 2022,24-Jun-2022 20:04:00.563,-5.790129511085016,37.19036089238912,1.7813752889633179,3.855351448059082,94.04394149873406,135.4263458251953,-0.4326418,7.39407063,6.4530344,0.0280914,
Fri Jun 24 20:04:00 GMT+02:00 2022,24-Jun-2022 20:04:01.563,-5.790110542980841,37.190346811617445,2.8835482597351074,3.82269024848938,93.8960091760382,139.9096221923828,-0.22527522,7.9279108,6.75517273,0.0765886,
Fri Jun 24 20:04:01 GMT+02:00 2022,24-Jun-2022 20:04:02.564,-5.7900826086924955,37.190314939650996,5.392209053039551,3.7663817405700684,93.82915985770524,145.48023986816406,-0.05495172,7.15007257,7.74145031,0.10455474,
Fri Jun 24 20:04:02 GMT+02:00 2022,24-Jun-2022 20:04:03.564,-5.7900502420224775,37.190264992336175,6.407839775085449,3.920473337173462,93.585071047768,146.5331573486328,-0.68283588,7.33325768,6.78613472,0.02647644,
Fri Jun 24 20:04:03 GMT+02:00 2022,24-Jun-2022 20:04:04.563,-5.79000755679216,37.190208307609204,7.357789516448975,4.069157123565674,93.19349859002978,148.83570861816406,-0.0017334,6.92585087,6.0521493,0.02042803,
Fri Jun 24 20:04:04 GMT+02:00 2022,24-Jun-2022 20:04:05.563,-5.789954782203701,37.190137395873094,9.2353515625,4.127288818359375,93.07197010796517,148.1864776611328,0.47094905,5.40404844,6.9947753,-0.07868713,
Fri Jun 24 20:04:05 GMT+02:00 2022,24-Jun-2022 20:04:06.563,-5.789894996980141,37.19006027413171,9.431902885437012,4.1318488121032715,92.79281716421247,148.728515625,0.78299969,6.08305359,9.10870171,0.13838059,
Fri Jun 24 20:04:06 GMT+02:00 2022,24-Jun-2022 20:04:07.564,-5.789835059577096,37.18998565111163,8.939379692077637,4.221497535705566,92.41328850295395,147.49366760253906,0.83892828,5.45367527,8.13400364,0.02093238,
Fri Jun 24 20:04:07 GMT+02:00 2022,24-Jun-2022 20:04:08.564,-5.789783838306703,37.189918640039146,7.81964635848999,4.201211929321289,92.37986827921122,146.7056121826172,0.51223469,5.4630127,7.43639994,-0.03894222,
Fri Jun 24 20:04:08 GMT+02:00 2022,24-Jun-2022 20:04:09.564,-5.7897353720341105,37.1898609729231,6.870791435241699,4.098428249359131,92.08388521894813,145.89093017578125,0.44841483,5.5921464,8.29681873,0.04217255,
